"","record.id","site.id","read.date","time","volunteer.name","water.depth","water.temp","air.temp","water.transparency","ph","salinity","oxygen"
"27",27,"Bay","8/22/1994","10:30","Not Recorded",0.9,27,24.5,0.45,9.1,2,9.1
"28",28,"Bay","8/29/1994","10:45","Not Recorded",0.75,27,27,0.45,9.3,2.3,9.8
"29",29,"Bay","9/5/1994","10:00","Not Recorded",1.2,17,17,0.2,8.5,2.5,8.6
"30",30,"Bay","9/12/1994","10:30","Not Recorded",0.6,21,19,0.35,8.4,2.5,7.9
"31",31,"Bay","9/19/1994","10:30","Not Recorded",0.6,20.5,21.5,0.45,8.1,2.5,8.2
"32",32,"Bay","9/26/1994","10:15","Not Recorded",0.8,23,23,0.45,8.1,2.25,6.9
"33",33,"Bay","10/10/1994","10:30","Not Recorded",0.5,17,17,0.45,8.1,2.5,8.4
"34",34,"Bay","10/24/1994","10:20","Not Recorded",0.85,18,19,0.35,7.6,2.5,7.4
"35",35,"Bay","11/7/1994","10:00","Not Recorded",0.5,15,15,0.2,7.3,2.5,9
"36",36,"Bay","11/28/1994","10:30","Not Recorded",0.65,13,17.5,0.25,7.7,2.8,9.4
"37",37,"Bay","12/12/1994","11:00","Not Recorded",0.4,5,5,0.35,6.9,2.5,11.4
"38",38,"Bay","12/29/1994","11:00","Not Recorded",0.4,8,9.5,0.15,6.9,3,10.4
"39",39,"Bay","5/11/1989","0:00","John Phillips",0.9,17,NA,0.3,7.5,NA,NA
"40",40,"Bay","5/18/1989","21:36","John Phillips",0.6,17.5,NA,0.2,7.5,NA,12
"41",41,"Bay","5/25/1989","0:00","John Phillips",0.8,23,NA,0.4,8,NA,NA
"42",42,"Bay","6/1/1989","4:48","John Phillips",0.9,25.5,NA,0.4,8,NA,12
"43",43,"Bay","7/11/1989","9:36","John Phillips",0.9,28.5,NA,0.3,8.5,NA,NA
"44",44,"Bay","7/20/1989","12:00","John Phillips",0.9,30,NA,0.3,9,NA,1.6
"45",45,"Bay","7/27/1989","14:24","John Phillips",0.8,27,NA,0.3,9,NA,6.2
"46",46,"Bay","8/3/1989","9:36","John Phillips",0.7,25,NA,0.2,9.5,NA,5.8
"47",47,"Bay","8/10/1989","12:00","John Phillips",0.3,21.5,NA,0.2,9,NA,3.2
"48",48,"Bay","8/17/1989","4:48","John Phillips",0.8,28,NA,0.2,9,NA,7.3
"49",49,"Bay","8/31/1989","9:36","John Phillips",0.8,28,NA,0.2,9,NA,7.1
"50",50,"Bay","9/14/1989","19:12","John Phillips",0.9,26,NA,0.3,7.5,NA,6
"51",51,"Bay","10/25/1989","4:48","John Phillips",0.5,15,NA,0.2,8.5,NA,7.8
"52",52,"Bay","10/31/1989","14:24","John Phillips",0.7,21.5,NA,0.2,7.5,NA,NA
"53",53,"Bay","11/20/1989","4:48","John Phillips",1,8.5,NA,0.2,8,NA,NA
"54",54,"Bay","11/27/1989","4:48","John Phillips",0.6,9,NA,0.2,7.5,NA,10.3
"55",55,"Bay","12/11/1989","9:36","John Phillips",0.4,3,NA,0.2,7,NA,10.2
"56",56,"Bay","1/3/1990","0:00","J Phillips, Mary Feldman",0.6,3,NA,0.2,7.5,NA,11.9
"57",57,"Bay","1/8/1990","12:00","J Phillips, Mary Feldman",0.4,7,NA,0.2,7.5,NA,10.8
"58",58,"Bay","1/22/1990","14:24","J Phillips, Mary Feldman",0.65,10,NA,0.15,7.5,1,9.7
"59",59,"Bay","1/30/1990","9:36","J Phillips, Mary Feldman",0.7,9,NA,0.2,7.5,NA,10.8
"60",60,"Bay","2/7/1990","0:00","J Phillips, Mary Feldman",0.6,10,NA,0.2,7.5,3.4,10.8
"61",61,"Bay","2/12/1990","4:48","J Phillips, Mary Feldman",0.7,10,NA,0.2,7,3.2,10.6
"62",62,"Bay","2/20/1990","0:00","J Phillips, Mary Feldman",0.39,5,NA,0.15,7.5,4.2,11.6
"63",63,"Bay","2/27/1990","19:12","J Phillips, Mary Feldman",1.5,2.5,NA,0.5,7,2.8,13.8
"64",64,"Bay","3/5/1990","7:12","J Phillips, Mary Feldman",0.4,7,NA,0.2,7,2.9,11.6
"65",65,"Bay","3/12/1990","19:12","J Phillips, Mary Feldman",0.69,17,NA,0.15,7,2.9,9
"66",66,"Bay","3/19/1990","4:48","J Phillips, Mary Feldman",0.92,15,NA,0.22,7,2.8,7.8
"67",67,"Bay","3/26/1990","4:48","J Phillips, Mary Feldman",0.4,9.5,NA,0.25,7,3,10.8
"68",68,"Bay","4/2/1990","0:00","J Phillips, Mary Feldman",0.7,5,NA,0.15,8,1.8,9.6
"69",69,"Bay","4/9/1990","14:24","J Phillips, Mary Feldman",0.78,11,NA,0.25,7,4.1,10.8
"70",70,"Bay","4/16/1990","4:48","J Phillips, Mary Feldman",0.72,15,NA,0.25,7,2.5,9.7
"71",71,"Bay","4/23/1990","0:00","J Phillips, Mary Feldman",0.59,15,NA,0.25,7,2.8,10.7
"72",72,"Bay","4/30/1990","19:12","J Phillips, Mary Feldman",1.3,18,NA,0.88,7,3.2,10
"73",73,"Bay","5/7/1990","9:36","J Phillips, Mary Feldman",0.75,17,NA,0.25,7,4.5,8.9
"74",74,"Bay","5/14/1990","4:48","J Phillips, Mary Feldman",1,20,NA,0.32,7,3.7,8.4
"75",75,"Bay","5/21/1990","2:24","J Phillips, Mary Feldman",0.99,22,NA,0.25,7,2.9,NA
"76",76,"Bay","5/29/1990","0:00","J Phillips, Mary Feldman",0.95,19,NA,0.375,7,2.1,8.9
"77",77,"Bay","6/4/1990","0:00","J Phillips, Mary Feldman",1.22,24,NA,0.4,7,3.5,6.9
"78",78,"Bay","6/11/1990","14:24","J Phillips, Mary Feldman",0.75,24,NA,0.35,7,3.2,7.9
"79",79,"Bay","6/16/1990","0:00","J Phillips, Mary Feldman",0.62,23.5,NA,0.32,7,3.2,7.7
"80",80,"Bay","6/24/1990","19:12","J Phillips, Mary Feldman",0.91,26,NA,0.35,7,3.8,7.9
"81",81,"Bay","7/2/1990","7:12","J Phillips, Mary Feldman",0.78,24,NA,0.35,7,3.7,7.8
"82",82,"Bay","7/9/1990","16:48","J Phillips, Mary Feldman",0.82,26,NA,0.3,7.5,4.2,7.5
"83",83,"Bay","7/16/1990","12:00","J Phillips, Mary Feldman",1.25,26.5,NA,0.375,7,3.9,7.5
"84",84,"Bay","7/26/1990","19:12","J Phillips, Mary Feldman",0.48,27,NA,0.375,7.75,4.2,6.9
"85",85,"Bay","8/6/1990","19:12","J Phillips, Mary Feldman",0.98,26,NA,0.4,8,4.2,7.7
"86",86,"Bay","8/13/1990","14:24","J Phillips, Mary Feldman",0.82,27,NA,0.35,8,4.2,7.8
"87",87,"Bay","8/27/1990","7:12","J Phillips, Mary Feldman",0.94,27,NA,0.35,8,4.2,8.9
"88",88,"Bay","9/4/1990","4:48","J Phillips, Mary Feldman",0.68,23,NA,0.25,8,2.9,8.1
"89",89,"Bay","9/17/1990","9:36","J Phillips, Mary Feldman",0.78,21,NA,0.25,8,2.4,8.8
"90",90,"Bay","10/15/1990","14:24","J Phillips, Mary Feldman",0.93,23,NA,0.3,8,3.5,8.2
"91",91,"Bay","10/29/1990","0:00","J Phillips, Mary Feldman",0.38,9,NA,0.1,8,0.7,12.5
"92",92,"Bay","12/17/1990","9:36","J Phillips, Mary Feldman",0.6,8,NA,0.25,7.5,0.5,11.05
"93",93,"Bay","1/7/1991","9:36","Mary Feldman",0.39,9,NA,0.2,8,0.7,11.8
"94",94,"Bay","1/14/1991","4:48","Mary Feldman",0.65,4.5,NA,0.2,8,0.4,12.2
"95",95,"Bay","1/24/1991","2:24","Mary Feldman",0.65,4.5,NA,0.2,7.5,0.5,13.2
"96",96,"Bay","1/3/1991","19:12","Mary Feldman",0.78,9,NA,0.25,7.5,0.5,11.9
"97",97,"Bay","2/4/1991","21:36","Mary Feldman",0.7,9,NA,0.25,7.5,0.9,NA
"98",98,"Bay","2/11/1991","9:36","Mary Feldman",0.41,7.5,NA,0.3,7.5,0.7,11.1
"99",99,"Bay","2/21/1991","21:36","Mary Feldman",0.72,12,NA,0.2,7.5,1.2,10.8
"100",100,"Bay","2/25/1991","9:36","Mary Feldman",0.28,8,NA,0.2,7.5,0.7,11.8
"101",101,"Bay","3/4/1991","19:12","Mary Feldman",1.6,15,NA,0.2,7.5,1.2,10
"102",102,"Bay","3/11/1991","4:48","Mary Feldman",0.35,6,NA,0.15,7.5,0.4,12.9
"103",103,"Bay","3/18/1991","4:48","Mary Feldman",0.69,11,NA,0.25,7.7,NA,9.95
"104",104,"Bay","3/25/1991","9:36","Mary Feldman",0.94,14,NA,0.275,8,0,9.8
"105",105,"Bay","4/4/1991","4:48","Mary Feldman",0.78,13,NA,0.32,8,1.2,10.7
"106",106,"Bay","4/8/1991","19:12","Mary Feldman",0.83,19,NA,0.32,8,2.1,8.7
"107",107,"Bay","4/15/1991","21:36","Mary Feldman",0.52,14,NA,0.32,7.5,1.2,8.9
"108",108,"Bay","4/22/1991","9:36","Mary Feldman",0.55,12.5,NA,0.2,7.5,0.9,9.75
"109",109,"Bay","4/29/1991","9:36","Mary Feldman",0.8,20.5,NA,0.35,7.5,2.4,8.3
"110",110,"Bay","5/6/1991","7:12","Mary Feldman",0.95,21,NA,0.35,7.5,2.6,8
"111",111,"Bay","5/20/1991","0:00","Mary Feldman",0.5,15.5,NA,0.3,7.5,1.3,9.5
"112",112,"Bay","6/10/1991","19:12","Mary Feldman",0.7,23,NA,0.3,7.5,3,6.9
"113",113,"Bay","6/17/1991","14:24","Mary Feldman",1.09,26,NA,0.325,7.5,3.8,6.8
"114",114,"Bay","6/26/1991","16:48","Mary Feldman",0.7,21,NA,0.25,7.5,2.8,8.1
"115",115,"Bay","7/9/1991","2:24","Mary Feldman",0.95,28,NA,0.35,7.5,1.8,7.8
"116",116,"Bay","7/15/1991","9:36","Mary Feldman",0.375,27.5,NA,0.99,7.5,0,8
"117",117,"Bay","7/25/1991","4:48","Mary Feldman",0.925,29,NA,0.4,7,NA,7.8
"118",118,"Bay","8/2/1991","16:48","Mary Feldman",1.025,24.5,NA,0.35,7.5,0.7,8
"119",119,"Bay","8/9/1991","4:48","Mary Feldman",1.025,27,NA,0.35,8,NA,8.4
"120",120,"Bay","8/16/1991","19:12","Mary Feldman",1.01,25,NA,0.38,8,NA,8.8
"121",121,"Bay","8/23/1991","9:36","Mary Feldman",0.88,26,NA,0.375,8,NA,7.8
"122",122,"Bay","8/30/1991","12:00","Mary Feldman",NA,26,NA,NA,8,NA,7.8
"123",123,"Bay","9/6/1991","2:24","Mary Feldman",0.9,25,NA,0.375,8,NA,7.7
"124",124,"Bay","9/13/1991","0:00","Mary Feldman",0.37,22.5,NA,0.2,8,NA,8.2
"125",125,"Bay","9/23/1991","19:12","Mary Feldman",0.52,20,NA,0.31,8,1.8,8.5
"126",126,"Bay","10/4/1991","Not Recorded","Mary Feldman",0.7,21,NA,0.28,7.5,3.5,7.7
"127",127,"Bay","10/17/1991","19:12","Mary Feldman",0.65,13,NA,0.2,7.5,9,9.7
"128",128,"Bay","10/31/1991","0:00","Mary Feldman",1.5,13,NA,NA,7.5,2.5,9.2
"129",129,"Bay","11/7/1991","7:12","Mary Feldman",0.75,13,NA,0.25,7.7,4.7,10.2
"130",130,"Bay","11/14/1991","7:12","Mary Feldman",0.8,12,NA,0.15,7,6.2,11.3
"131",131,"Bay","11/21/1991","2:24","Mary Feldman",0.85,17,NA,0.15,7,2.6,9.1
"132",132,"Bay","11/29/1991","0:00","Mary Feldman",0.6,12,NA,0.25,7.5,3.3,10.8
"133",133,"Bay","12/9/1991","0:00","Mary Feldman",0.25,10,NA,0.15,7.5,2,10.4
"134",134,"Bay","12/20/1991","14:24","Mary Feldman",0.3,2,NA,0.2,8,1.4,15.1
"135",135,"Bay","12/27/1991","14:24","Mary Feldman",0.49,7,NA,0.35,7.5,2.9,11.6
"136",136,"Bay","1/3/1992","14:24","Mary Feldman",0.45,10,NA,0.28,7.5,2,11.8
"137",137,"Bay","1/9/1992","2:24","Mary Feldman",0.99,7.5,NA,0.3,7.5,2.2,11.3
"138",138,"Bay","1/20/1992","21:36","Mary Feldman",0.58,2,NA,0.2,7,1.4,12.6
"139",139,"Bay","1/30/1992","16:48","Mary Feldman",0.48,6,NA,0.25,7,1.6,11.6
"140",140,"Bay","2/10/1992","4:48","Mary Feldman",0.3,3,NA,0.25,7,2.4,14.2
"141",141,"Bay","2/17/1992","14:24","Mary Feldman",0.68,10,NA,0.15,7,2,11.1
"142",142,"Bay","2/23/1992","12:00","Mary Feldman",0.68,12.5,NA,0.15,7.5,2.4,10
"143",143,"Bay","3/2/1992","21:36","Mary Feldman",0.8,13,NA,0.2,8,2.9,11.3
"144",144,"Bay","3/9/1992","9:36","Mary Feldman",0.75,16,NA,0.25,7.5,3.5,10
"145",145,"Bay","3/16/1992","0:00","Mary Feldman",0.48,3,NA,0.15,7,2.8,NA
"146",146,"Bay","3/23/1992","14:24","Mary Feldman",0.35,3,NA,0.05,7.5,2.9,11.6
"147",147,"Bay","4/6/1992","0:00","Mary Feldman",0.42,9,NA,0.25,7.5,3,11
"148",148,"Bay","4/13/1992","12:00","Mary Feldman",0.5,13,NA,0.1,7.5,3.8,10.6
"149",149,"Bay","4/20/1992","9:36","Mary Feldman",0.78,17,NA,0.2,7,4.7,9.4
"150",150,"Bay","4/27/1992","11:45","Mary Feldman",0.65,14,NA,0.35,7,3.7,9.6
"151",151,"Bay","5/5/1992","0:00","Mary Feldman",0.6,15.5,NA,0.2,7.5,3.8,8.9
"152",152,"Bay","5/11/1992","14:24","Mary Feldman",0.7,17.5,NA,0.3,7.5,4.2,9.2
"153",153,"Bay","5/18/1992","4:48","Mary Feldman",0.65,NA,NA,0.3,7.5,3.9,9
"154",154,"Bay","6/1/1992","21:36","Mary Feldman",0.9,20,NA,0.4,7,5,9.4
"155",155,"Bay","6/8/1992","4:48","Mary Feldman",1.05,27.5,NA,0.4,7,4.3,7.9
"156",156,"Bay","6/15/1992","4:48","Mary Feldman",0.8,25,NA,0.4,8,5.1,7.8
"157",157,"Bay","6/22/1992","9:36","Mary Feldman",0.68,19,NA,0.45,7.5,4.7,9
"158",158,"Bay","6/29/1992","19:12","Mary Feldman",0.8,26,NA,0.4,7.5,4.5,0.8
"159",159,"Bay","7/6/1992","4:48","Mary Feldman",1,25,NA,0.45,7.5,4.3,7.5
"160",160,"Bay","7/13/1992","19:12","Mary Feldman",0.95,28.5,NA,0.35,7.5,5.1,7.3
"161",161,"Bay","7/27/1992","21:36","Mary Feldman",0.95,28,NA,0.35,8,5.1,7.6
"162",162,"Bay","8/3/1992","19:12","Mary Feldman",0.85,26,NA,0.3,8,4.5,8
"163",163,"Bay","8/7/1992","0:00","Mary Feldman",0.6,23,NA,0.33,8,4.7,8
"164",164,"Bay","8/14/1992","14:24","Mary Feldman",0.95,24.5,NA,0.4,7.5,4.7,7.1
"165",165,"Bay","8/23/1992","19:12","Mary Feldman",0.8,24.5,NA,0.4,8,3.9,8.5
"166",166,"Bay","8/31/1992","0:00","Mary Feldman",1,23,NA,0.3,7.5,4.3,7.7
"167",167,"Bay","9/14/1992","14:24","Mary Feldman",0.38,19.5,NA,0.38,8,4.8,9.2
"168",168,"Bay","9/20/1992","4:48","Mary Feldman",0.8,23.5,NA,0.35,7.5,4.3,7.6
"169",169,"Bay","9/27/1992","16:48","Mary Feldman",0.45,24,NA,0.25,8,5.4,9.8
"170",170,"Bay","10/5/1992","14:24","Mary Feldman",0.15,16,NA,0.1,7.5,3.9,9.2
"171",171,"Bay","10/19/1992","0:00","Mary Feldman",1,12,NA,0.1,7.5,4.1,9.8
"172",172,"Bay","10/26/1992","9:36","Mary Feldman",0.63,12.5,NA,0.3,7,4.2,10.6
"173",173,"Bay","11/2/1992","12:00","Mary Feldman",0.65,16.5,NA,0.35,7.5,3.4,10.6
"174",174,"Bay","11/9/1992","0:00","Mary Feldman",0.4,9,NA,NA,7.5,1.7,11.3
"175",175,"Bay","11/16/1992","21:36","Mary Feldman",0.55,7.5,NA,0.4,7.5,3.9,11
"176",176,"Bay","11/23/1992","16:48","Mary Feldman",0.85,18.5,NA,0.25,7.85,3.9,9
"177",177,"Bay","11/30/1992","9:36","Mary Feldman",0.7,9,NA,0.55,7.5,3.7,10.9
"178",178,"Bay","12/17/1992","21:36","Mary Feldman",0.5,12,NA,0.15,7,4.1,10.8
"179",179,"Bay","12/20/1992","21:36","Mary Feldman",0.85,10.5,NA,0.25,7,3.8,10.1
"180",180,"Bay","12/27/1992","21:36","Mary Feldman",0.45,5.5,NA,0.25,7,4.7,13.2
"181",181,"Bay","1/4/1993","19:12","Mary Feldman",0.5,8,NA,0.35,7,3.7,11
"182",182,"Bay","1/11/1993","14:24","Mary Feldman",0.25,9,NA,0.25,7,3.5,11.9
"183",183,"Bay","1/24/1993","2:24","Mary Feldman",0.95,10.5,NA,0.3,7,3.3,10.5
"184",184,"Bay","2/1/1993","2:24","Mary Feldman",0.85,6,NA,0.2,7,2.9,12
"185",185,"Bay","2/8/1993","21:36","Mary Feldman",0.3,5,NA,0.1,7,3.4,12.6
"186",186,"Bay","2/16/1993","14:24","Mary Feldman",0.75,8,NA,0.3,7,3.5,12.4
"187",187,"Bay","2/22/1993","0:00","Mary Feldman",0.85,8,NA,0.1,7,2.9,12.7
"188",188,"Bay","3/8/1993","7:12","Mary Feldman",1.15,10,NA,0.1,7,3.9,10.7
"189",189,"Bay","3/15/1993","16:48","Mary Feldman",1.7,2.5,NA,0.5,7,3.4,12.8
"190",190,"Bay","3/22/1993","19:12","Mary Feldman",0.4,10,NA,0.15,7,3.3,11.2
"191",191,"Bay","3/29/1993","12:00","Mary Feldman",0.7,14.5,NA,0.5,7,3,10
"192",192,"Bay","4/1/1993","21:36","Mary Feldman",3.1,17.5,NA,0.55,NA,2.9,9.5
"193",193,"Bay","4/5/1993","14:24","Mary Feldman",0.8,10,NA,0.35,7,2.5,10
"194",194,"Bay","4/12/1993","10.15","Mary Feldman",1,15.5,NA,0.3,7,2.5,9.7
"195",195,"Bay","4/19/1993","14:24","Mary Feldman",1.15,14.5,NA,0.3,7,3,10
"196",196,"Bay","4/26/1993","19:12","Mary Feldman",1.2,19,NA,0.3,7,3.4,8.7
"197",197,"Bay","5/10/1993","19:12","Mary Feldman",0.85,21,NA,0.4,7,3.2,8
"198",198,"Bay","5/17/1993","0:00","Mary Feldman",1,24,NA,0.5,7,3.9,8
"199",199,"Bay","5/24/1993","14:24","Mary Feldman",0.85,20,NA,0.3,7,2.9,9
"200",200,"Bay","6/7/1993","12:00","Mary Feldman",0.75,23,NA,0.45,7,3.7,NA
"201",201,"Bay","6/14/1993","21:36","Mary Feldman",0.45,21.5,NA,0.45,7,3.9,8.1
"202",202,"Bay","6/21/1993","14:24","Mary Feldman",1,26.5,NA,0.55,7,3.8,7.2
"203",203,"Bay","6/28/1993","0:00","Mary Feldman",0.8,26.5,NA,0.55,7,3.9,7.1
"204",204,"Bay","7/5/1993","16:48","Mary Feldman",0.8,30,NA,0.55,7.5,NA,7.4
"205",205,"Bay","7/19/1993","12:00","Mary Feldman",0.75,27,NA,0.45,7.5,4.2,7.3
"206",206,"Bay","7/26/1993","2:24","Mary Feldman",0.7,28,NA,0.5,7.5,NA,7.5
"207",207,"Bay","8/2/1993","0:00","Mary Feldman",0.8,26.5,NA,0.4,8,3.9,8
"208",208,"Bay","8/9/1993","16:48","Mary Feldman",0.55,25.5,NA,0.3,8,3.5,9.1
"209",209,"Bay","9/6/1993","12:00","Mary Feldman",0.85,25.5,NA,0.35,NA,NA,7.2
"210",210,"Bay","9/13/1993","9:36","Mary Feldman",0.75,24,NA,0.2,7,NA,7.8
"211",211,"Bay","9/20/1993","7:12","Mary Feldman",0.6,21.5,NA,0.2,8,NA,8.5
"212",212,"Bay","9/27/1993","2:24","Mary Feldman",0.95,24.5,NA,0.4,7.9,1.8,7.2
"213",213,"Bay","10/4/1993","0:00","Mary Feldman",0.65,19,NA,0.35,8.3,NA,9.3
"214",214,"Bay","10/12/1993","0:00","Mary Feldman",0.5,16.5,NA,0.3,7.8,1.5,8.8
"215",215,"Bay","10/18/1993","22:33","Mary Feldman",0.75,18,NA,0.35,7.7,1.5,8.8
"216",216,"Bay","10/25/1993","0:28","Mary Feldman",0.6,15.6,NA,0.4,8.4,1.8,10.6
"217",217,"Bay","11/8/1993","8:09","Mary Feldman",0.55,9.8,NA,0.35,7.5,1.5,8.2
"218",218,"Bay","11/15/1993","12:00","Mary Feldman",0.8,17.3,NA,0.4,7.9,1.4,9.6
"219",219,"Bay","11/29/1993","21:36","Mary Feldman",0.55,12.1,NA,0.2,7.1,1.5,9.4
"220",220,"Bay","12/6/1993","17:45","Mary Feldman",0.75,10.5,NA,0.25,7.4,1.5,9.8
"221",221,"Bay","12/13/1993","21:36","Mary Feldman",0.45,1.3,NA,0.25,7.6,1.5,13
"222",222,"Bay","12/28/1993","17:45","Mary Feldman",0.7,3.8,NA,0.3,7.1,1.5,12.1
"223",223,"Bay","1/16/1995","16:48","Mary Feldman",0.85,13.5,NA,0.25,7.4,3,8.5
"224",224,"Bay","1/23/1995","9:36","Mary Feldman",0.7,4.5,NA,0.2,7.1,3,10.75
"225",225,"Bay","2/13/1995","7:12","Mary Feldman",0.25,2,NA,0.2,6.8,3,12.5
"226",226,"Bay","3/6/1995","9:36","Mary Feldman",0.2,9.5,NA,0.2,7.1,2.4,9.3
"227",227,"Bay","3/13/1995","N/A","Mary Feldman",0.65,11.5,NA,0.28,6.9,2.4,9.9
"228",228,"Bay","3/20/1995","12:00","Mary Feldman",0.45,12.5,NA,0.35,7.1,2.8,8.9
"229",229,"Bay","3/27/1995","14:24","Mary Feldman",0.45,11,NA,0.25,7.1,2.4,9
"230",230,"Bay","4/3/1995","12:00","Mary Feldman",0.55,11.5,NA,0.4,7.1,2.4,9.3
"231",231,"Bay","4/10/1995","4:48","Mary Feldman",0.7,15,NA,0.25,7.1,3.2,8.5
"232",232,"Bay","4/18/1995","2:24","Mary Feldman",0.5,16,NA,0.25,7.1,3,9
"233",233,"Bay","4/24/1995","0:00","Mary Feldman",0.55,12.5,NA,0.25,7.4,3,9.7
"234",234,"Bay","5/1/1995","16:48","Mary Feldman",0.6,15,NA,0.3,7.2,3.2,8.9
"235",235,"Bay","5/15/1995","7:12","Mary Feldman",0.55,21.5,NA,0.3,6.8,3.3,6.8
"236",236,"Bay","5/22/1995","7:12","Mary Feldman",0.55,21.5,NA,0.3,6.8,3.3,6.8
"237",237,"Bay","5/29/1995","14:24","Mary Feldman",0.4,22,NA,0.4,7.5,3.5,8.5
"238",238,"Bay","6/5/1995","9:36","Mary Feldman",0.3,25,NA,0.3,7.6,4,7.8
"239",239,"Bay","6/12/1995","21:36","Mary Feldman",0.9,26.5,NA,0.4,7.9,3.5,7.7
"240",240,"Bay","6/19/1995","4:48","Mary Feldman",0.55,25,NA,0.4,8,3.2,7.7
"241",241,"Bay","6/26/1995","9:36","Mary Feldman",0.8,28.5,NA,0.5,8.3,4,8.8
"242",242,"Bay","7/3/1995","N/A","Mary Feldman",0.8,26,NA,0.45,NA,4,8
"243",243,"Bay","7/10/1995","16:48","Mary Feldman",0.7,26,NA,0.35,7.9,4,7
"244",244,"Bay","7/17/1995","4:48","Mary Feldman",1,30,NA,0.45,8,4,7
"245",245,"Bay","7/24/1995","7:12","Mary Feldman",0.9,32,NA,0.55,8.4,4.5,7.2
"246",246,"Bay","7/31/1995","4:48","Mary Feldman",0.8,29.5,NA,0.5,8.1,4.5,7.6
"247",247,"Bay","8/7/1995","14:24","Mary Feldman",0.6,24,NA,0.5,8.2,4.5,8.7
"248",248,"Bay","8/22/1995","12:00","Mary Feldman",0.5,25,NA,0.3,8.8,5.5,7.4
"249",249,"Bay","8/29/1995","Not Recorded","Mary Feldman",0.65,25.5,NA,0.35,8.7,4.5,9.9
"250",250,"Bay","9/5/1995","14:24","Mary Feldman",0.75,26,NA,0.3,9,4.8,10.5
"251",251,"Bay","9/12/1995","14:24","Mary Feldman",0.7,24.5,NA,0.3,9.2,4.5,10.4
"252",252,"Bay","9/28/1995","4:48","Mary Feldman",0.7,21,NA,0.3,8.7,4.8,9.5
"253",253,"Bay","10/5/1995","23:02","Mary Feldman",0.45,15.5,NA,0.3,7.2,4.4,9.9
"254",254,"Bay","10/6/1995","12:00","Mary Feldman",1.15,24.5,NA,0.45,8.5,5,8.9
"255",255,"Bay","10/11/1995","15:21","Mary Feldman",0.75,17.5,NA,0.3,7.2,2.4,8.69
"256",256,"Bay","10/20/1995","11:31","Mary Feldman",0.73,15,NA,0.35,7.6,2.2,9.71
"257",257,"Bay","10/23/1995","21:36","Mary Feldman",0.8,18.5,NA,0.4,9,4.5,11.6
"258",258,"Bay","10/26/1995","6:43","Mary Feldman",0.75,19,NA,0.38,6.7,2.8,8.15
